"","X14_Species_Name","Common_Name","Scientific_Name","Order","IUCN name","HWI","Sample size","Body mass (log)","Range Size","Island","Migration-1","Migration-2","Migration-3","Territoriality","Diet","Habitat","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange","BodyMass.Value"
"98","Common Crane (Grus grus)","Common Crane ","Grus grus","Gruiformes","Grus grus",43.01371438,4,"3.7403618999999999","1297","0","Full Migrant","3","directional migratory","weak","omnivore","3","56.26","-0.89596806500000004","46.987706459999998","454.82809880000002","53.846547430000001",5499.99
"99","Demoiselle Crane (Grus virgo)","Demoiselle Crane ","Grus virgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2417
"100","Common Quail (Coturnix coturnix)","Common Quail ","Coturnix coturnix","Galliformes","Coturnix coturnix",43.69274304,4,"1.9835360820000001","2509","1.7935432000000001E-2","Full Migrant","3","directional migratory","none","seeds","3","40.340000000000003","8.6369142829999994","36.631354430000002","577.46606640000005","82.261135120000006",96.28
"101","Spotted Owlet (Athene brama)","Spotted Owlet ","Athene brama","Strigiformes","Athene brama",29.247852,8,"2.0492180229999999","485","0","Not a Migrant","1","resident","strong","invertebrates","2","21.5","25.196114219999998","25.045761949999999","1255.419942","313.42161320000002",112
"102","Desert Lark (Ammomanes deserti)","Desert Lark ","Ammomanes deserti","Passeriformes","Ammomanes deserti",24.12965126,4,"1.3765769569999999","1233","8.1103000000000002E-4","Not a Migrant","2","resident","weak","omnivore","3","25.52","22.741482619999999","31.95248496","138.813199","34.824364209999999",23.8
"103","Sind Sparrow (Passer pyrrhonotus)","Sind Sparrow ","Passer pyrrhonotus","Passeriformes","Passer pyrrhonotus",24.57463393,4,"1.3414345249999999","69","0","Not a Migrant","1","resident","none","seeds","2","28.75","24.254339000000002","34.068728890000003","316.43752219999999","83.685205069999995",21.95
"104","Sand Lark (Alaudala raytal)","Sand Lark ","Alaudala raytal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Blackheaded Ibis (Threskiornis melanocephalus)","Blackheaded Ibis ","Threskiornis melanocephalus","Pelecaniformes","Threskiornis melanocephalus",34.6131705,4,"3.1149444160000002","231","0","Full Migrant","1","directional migratory","none","vertebrates","3","19.89","24.361549870000001","23.785364340000001","1516.39284","353.4022162",1303
"106","Oriental Magpie Robin (Copsychus saularis)","Oriental Magpie Robin ","Copsychus saularis","Passeriformes","Copsychus saularis",18.59340096,7,"1.556302501","962","0.13721413700000001","Not a Migrant","1","resident","strong","invertebrates","1","16.72","23.308723390000001","20.115235290000001","1809.436459","298.79627090000002",36
"107","Yellowthroated Sparrow (Gymnoris xanthocollis)","Yellowthroated Sparrow ","Gymnoris xanthocollis","Passeriformes","Gymnoris xanthocollis",28.498942,5,"1.2576785749999999","425","1.1764706E-2","Not a Migrant","1","directional migratory","weak","seeds","2","24.81","23.701568949999999","29.70791741","723.43180729999995","205.19870449999999",NA
"108","Eurasian Wryneck (Jynx torquilla)","Eurasian Wryneck ","Jynx torquilla","Piciformes","Jynx torquilla",25.6178014,4,"1.543571424","1752","1.1415524999999999E-2","Full Migrant","3","directional migratory","weak","invertebrates","1","52.06","2.989875075","40.371035220000003","632.71151210000005","69.528388759999999",34.96
"109","Painted Francolin (Francolinus pictus)","Painted Francolin ","Francolinus pictus","Galliformes","Francolinus pictus",25.58853262,4,"2.4576397139999999","174","0","Not a Migrant","1","resident","weak","plants","2","19.28","26.273512790000002","24.348961509999999","1174.0730080000001","341.7478112",286.84
"110","Laggar Falcon (Falco jugger)","Laggar Falcon ","Falco jugger","Falconiformes","Falco jugger",52.00101874,4,"2.8779469519999998","299","0","Not a Migrant","2","resident","weak","vertebrates","3","24.08","24.35490179","28.71193156","959.42161269999997","271.0491869",755
"111","Wire tailed Swallow (Hirundo smithii)","Wire tailed Swallow ","Hirundo smithii","Passeriformes","Hirundo smithii",58.04260015,4,"1.093421685","1526","5.2424639999999996E-3","Full Migrant","2","directional migratory","none","invertebrates","3","7.29","23.490203829999999","22.18316226","1072.813913","238.07468299999999",12.4
