"","X14_Species_Name","Common_Name","Scientific_Name","Order","IUCN name","HWI","Sample size","Body mass (log)","Range Size","Island","Migration-1","Migration-2","Migration-3","Territoriality","Diet","Habitat","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange","BodyMass.Value"
"33","Siberian Stonechat (Saxicola maurus)","Siberian Stonechat ","Saxicola maurus","Passeriformes","NA",19.9009278,4,"NA","NA","NA","NA","3","directional migratory","weak","NA","2","NA","NA","NA","NA","NA",NA
"34","Pale capped Pigeon (Columba punicea)","Pale capped Pigeon ","Columba punicea","Columbiformes","Columba punicea",35.01168828,4,"2.6378798190000001","201","0","Not a Migrant","1","resident","none","fruit","2","18.260000000000002","24.485252819999999","19.968621460000001","1854.6982889999999","393.91525280000002",434.39
"35","Ashy Prinia (Prinia socialis)","Ashy Prinia ","Prinia socialis","Passeriformes","Prinia socialis",10.26808511,4,"0.90308998699999998","288","0","Not a Migrant","1","resident","weak","invertebrates","3","21.85","25.144659780000001","25.488719199999998","1263.6370429999999","338.44821660000002",8
"36","Pipit (Unidentified)","Pipit ","Unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Others","Others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Black crowned SparrowLark (Eremopterix nigriceps)","Black crowned SparrowLark ","Eremopterix nigriceps","Passeriformes","Eremopterix nigriceps",25.54096159,4,"1.1414497729999999","832","1.0817307999999999E-2","Nomadic","2","resident","weak","seeds","3","18.079999999999998","26.561784530000001","26.42542701","266.15434959999999","85.027694569999994",13.85
"39","Eastern Orphean Warbler (Sylvia crassirostris)","Eastern Orphean Warbler ","Sylvia crassirostris","Passeriformes","Sylvia crassirostris",26.41460764,4,"NA","NA","NA","NA","3","directional migratory","weak","NA","2","NA","14.497635300000001","32.178976710000001","481.61390030000001","65.579909880000002",NA
"40","Stoliczka's Bushchat (Saxicola macrorhynchus)","Stoliczka's Bushchat ","Saxicola macrorhynchus","Passeriformes","Saxicola macrorhynchus",20.38997437,4,"1.183839037","15","0","Not a Migrant","2","directional migratory","weak","invertebrates","2","28.21","23.73054132","34.490408260000002","484.77051239999997","152.2686258",15.27
"41","Isabelline Wheatear (Oenanthe isabellina)","Isabelline Wheatear ","Oenanthe isabellina","Passeriformes","Oenanthe isabellina",24.69248759,4,"1.4683473300000001","1235","1.619433E-3","Full Migrant","3","directional migratory","weak","invertebrates","3","43.05","6.4726773050000004","43.593323859999998","309.51666640000002","51.230374849999997",29.4
"42","Oriental Skylark (Alauda gulgula)","Oriental Skylark ","Alauda gulgula","Passeriformes","Alauda gulgula",27.21062444,4,"1.419955748","1206","2.9021558999999999E-2","Full Migrant","2","directional migratory","weak","seeds","3","26.62","17.009392999999999","28.79605857","1083.6745900000001","223.26135099999999",26.3
"43","Indian Bushlark (Mirafra erythroptera)","Indian Bushlark ","Mirafra erythroptera","Passeriformes","Mirafra erythroptera",20.84865316,4,"1.3283796029999999","226","4.4247790000000002E-3","Not a Migrant","1","resident","weak","omnivore","2","22.29","25.268568680000001","27.002461019999998","1039.763946","306.54538930000001",21.3
"44","Blackcrowned Night Heron (Nycticorax nycticorax)","Blackcrowned Night Heron ","Nycticorax nycticorax","Pelecaniformes","Nycticorax nycticorax",33.03518541,4,"2.908485019","3975","2.7924528000000001E-2","Full Migrant","3","directional migratory","none","vertebrates","3","11.99","18.966194569999999","25.268322300000001","1056.0954300000001","162.98838140000001",810
"45","White browed Wagtail (Motacilla maderaspatensis)","White browed Wagtail ","Motacilla maderaspatensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Painted Stork (Mycteria leucocephala)","Painted Stork ","Mycteria leucocephala","Ciconiiformes","Mycteria leucocephala",41.09054647,4,"3.5024271200000001","278","2.5179856E-2","Not a Migrant","2","dispersive migratory","none","vertebrates","3","19.440000000000001","24.891769589999999","22.107475919999999","1537.4647540000001","359.74890850000003",3180
"47","Cattle Egret (Bubulcus ibis)","Cattle Egret ","Bubulcus ibis","Pelecaniformes","Bubulcus ibis",26.99559227,7,"2.5634217509999999","2933","2.4207296E-2","Full Migrant","2","directional migratory","none","invertebrates","3","2.2799999999999998","22.590164290000001","20.318036370000002","1264.1337639999999","197.33973449999999",365.95
"48","Dusky Eagle Owl (Bubo coromandus)","Dusky Eagle Owl ","Bubo coromandus","Strigiformes","Bubo coromandus",34.30906072,4,"3.1436860320000002","284","0","Not a Migrant","1","resident","strong","vertebrates","2","20.309999999999999","25.062321310000002","23.6976111","1459.852279","336.68647870000001",1392.15
"49","Large Grey Babbler (Argya malcolmi)","Large Grey Babbler ","Argya malcolmi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Common Chiffchaff (Phylloscopus collybita)","Common Chiffchaff ","Phylloscopus collybita","Passeriformes","Phylloscopus collybita",17.03028308,4,"0.91907809200000001","1850","3.7837840000000001E-3","Full Migrant","3","directional migratory","weak","invertebrates","1","54.41","1.3055117469999999","41.991071779999999","540.4018615","55.988862169999997",8.3
"51","Whitethroated Kingfisher (Halcyon smyrnensis)","Whitethroated Kingfisher ","Halcyon smyrnensis","Coraciiformes","Halcyon smyrnensis",20.24597458,4,"1.9609461960000001","888","7.6576577000000007E-2","Not a Migrant","2","resident","weak","vertebrates","2","20.079999999999998","23.199604040000001","22.740635770000001","1506.063664","280.70445990000002",91.4
"52","Northern Shoveler (Spatula clypeata)","Northern Shoveler ","Spatula clypeata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Northern Pintail (Anas acuta)","Northern Pintail ","Anas acuta","Anseriformes","Anas acuta",59.44288563,4,"2.9752571360000002","3130","1.9169328999999999E-2","Full Migrant","3","directional migratory","none","plants","3","57.08","-2.1382910060000002","45.17550885","512.82608340000002","55.633411889999998",944.62
"54","Common Pochard (Aythya ferina)","Common Pochard ","Aythya ferina","Anseriformes","Aythya ferina",51.4372138,4,"2.915394558","1415","1.130742E-2","Full Migrant","1","directional migratory","none","plants","3","50.71","4.1082063069999997","41.429910749999998","472.5560155","51.48506003",822.99
"55","Common Coot (Fulica atra)","Common Coot ","Fulica atra","Gruiformes","Fulica atra",40.25960063,4,"2.8555918349999998","2793","1.8259936000000001E-2","Full Migrant","1","directional migratory","weak","omnivore","3","32.17","10.020781810000001","36.826432050000001","619.88468339999997","92.748128030000004",717.12
