"","X7_Cell_ID","name","value"
"203","BK263","Woodland",2
"204","BK263","Generalist",10
"205","BK264","Overall",9
"206","BK264","Grassland",8
"207","BK264","Woodland",1
"208","BK264","Generalist",2
"209","BK269","Overall",14
"210","BK269","Grassland",7
"211","BK269","Woodland",0
"212","BK269","Generalist",7
"213","BK275","Overall",13
"214","BK275","Grassland",8
"215","BK275","Woodland",1
"216","BK275","Generalist",6
"217","BK28","Overall",19
"218","BK28","Grassland",16
"219","BK28","Woodland",1
"220","BK28","Generalist",4
"221","BK40","Overall",14
"222","BK40","Grassland",8
"223","BK40","Woodland",1
"224","BK40","Generalist",7
"225","BK45","Overall",9
"226","BK45","Grassland",7
"227","BK45","Woodland",1
"228","BK45","Generalist",3
"229","BK47","Overall",10
"230","BK47","Grassland",8
"231","BK47","Woodland",1
"232","BK47","Generalist",3
"233","BK48","Overall",13
"234","BK48","Grassland",8
"235","BK48","Woodland",0
"236","BK48","Generalist",5
"237","BK50","Overall",17
"238","BK50","Grassland",10
"239","BK50","Woodland",0
"240","BK50","Generalist",7
"241","BK54","Overall",14
"242","BK54","Grassland",6
"243","BK54","Woodland",2
"244","BK54","Generalist",7
"245","BK57","Overall",5
"246","BK57","Grassland",4
"247","BK57","Woodland",1
"248","BK57","Generalist",2
"249","BK59","Overall",22
"250","BK59","Grassland",10
"251","BK59","Woodland",0
"252","BK59","Generalist",12
"253","BK61","Overall",9
"254","BK61","Grassland",5
"255","BK61","Woodland",1
"256","BK61","Generalist",5
"257","BK7","Overall",15
"258","BK7","Grassland",9
"259","BK7","Woodland",0
"260","BK7","Generalist",6
"261","BK75","Overall",11
"262","BK75","Grassland",7
"263","BK75","Woodland",1
"264","BK75","Generalist",5
"265","BK77","Overall",17
"266","BK77","Grassland",9
"267","BK77","Woodland",1
"268","BK77","Generalist",9
"269","BK80","Overall",10
"270","BK80","Grassland",6
"271","BK80","Woodland",0
"272","BK80","Generalist",4
"273","BK85","Overall",10
"274","BK85","Grassland",6
"275","BK85","Woodland",0
"276","BK85","Generalist",4
"277","BK90","Overall",19
"278","BK90","Grassland",11
"279","BK90","Woodland",0
"280","BK90","Generalist",8
"281","BK91","Overall",15
"282","BK91","Grassland",9
"283","BK91","Woodland",1
"284","BK91","Generalist",7
"285","BK92","Overall",7
"286","BK92","Grassland",6
"287","BK92","Woodland",1
"288","BK92","Generalist",2
"289","BK96","Overall",21
"290","BK96","Grassland",10
"291","BK96","Woodland",1
"292","BK96","Generalist",10
"293","BK97","Overall",9
"294","BK97","Grassland",7
"295","BK97","Woodland",1
"296","BK97","Generalist",3
"297","BK98","Overall",14
"298","BK98","Grassland",11
"299","BK98","Woodland",1
"300","BK98","Generalist",4
"301","BK99","Overall",15
"302","BK99","Grassland",8
"303","BK99","Woodland",0
"304","BK99","Generalist",7
