"","X7_Cell_ID","Farm_hut","Road","Fence","Settlement","No_infrastructure","Water_source","Industrial_uses","Powerline"
"1","BK1",0,0,0.875,0,0,0.375,0,1
"2","BK101",0.666666666666667,0.222222222222222,0.666666666666667,0.222222222222222,0.111111111111111,0.888888888888889,0,0.666666666666667
"3","BK104",0,0.444444444444444,0.333333333333333,0,0.222222222222222,0.444444444444444,0,0.555555555555556
"4","BK107",0,0.25,0.625,0.25,0,0.625,0,0.875
"5","BK111",0,0.142857142857143,0.571428571428571,0.285714285714286,0,0.428571428571429,0,1
"6","BK113",0,0.125,0.625,0.25,0.375,0.125,0,0.375
"7","BK115",0,0,0.25,0.125,0,0.625,0,0.5
"8","BK123",0,0.285714285714286,0.857142857142857,0.142857142857143,0,0.857142857142857,0,0.714285714285714
"9","BK124",0.444444444444444,1,0.555555555555556,0,0,0.333333333333333,0,0
"10","BK127",0,0.1,0.6,0.1,0.1,0.6,0,0.3
"11","BK128",0.125,0.125,0.25,0.125,0.25,0.875,0,0.25
"12","BK129",0,0.111111111111111,0.555555555555556,0.222222222222222,0.111111111111111,0.333333333333333,0,0.777777777777778
"13","BK131",0,0,1,0.375,0,0.875,0.125,1
"14","BK14",0,0.0833333333333333,0.416666666666667,0.0833333333333333,0.25,0.25,0,0
"15","BK142",0,0,1,0,0,0.25,0,0.625
"16","BK144",0.25,1,0,0,0,0,0,0
"17","BK147",0.375,0.25,0.5,0.125,0.125,0.625,0,0.375
"18","BK148",0,0.181818181818182,0.272727272727273,0.181818181818182,0.545454545454545,0.363636363636364,0,0.272727272727273
"19","BK149",0.272727272727273,0.0909090909090909,0.454545454545455,0.363636363636364,0.0909090909090909,0.454545454545455,0,0.363636363636364
"20","BK152",0,0.1,0.9,0.3,0,0.6,0,1
"21","BK153",0.555555555555556,0.333333333333333,0.666666666666667,0,0.111111111111111,0.666666666666667,0,0.444444444444444
"22","BK156",0,0.142857142857143,0.857142857142857,0.142857142857143,0,0.428571428571429,0,0.428571428571429
"23","BK158",0,0.538461538461538,0.538461538461538,0.0769230769230769,0,0.538461538461538,0,0.923076923076923
"24","BK159",0,0.5,0.875,0,0.125,0.75,0,0.375
"25","BK16",0,0.166666666666667,0.833333333333333,0,0.166666666666667,0.166666666666667,0,0.5
"26","BK162",0,1,0.125,0,0,0,0,0
"27","BK165",0.125,0.125,0.375,0.25,0.375,0.375,0,0.5
"28","BK176",0,0.25,0.5,0,0,0.5,0.25,0.875
"29","BK185",0,0.4,0.5,0.3,0,0.6,0,0.5
"30","BK186",0,0.166666666666667,0.833333333333333,0.833333333333333,0,0.833333333333333,0,1
"31","BK191",0.333333333333333,0.222222222222222,0.888888888888889,0.222222222222222,0,0.555555555555556,0,0.777777777777778
"32","BK193",0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.333333333333333,0.222222222222222,0,0.333333333333333
"33","BK200",0.7,0,0.1,0,0.3,0,0,0
"34","BK203",0.555555555555556,0,0.444444444444444,0.111111111111111,0.111111111111111,0.444444444444444,0,0
"35","BK211",0.0555555555555556,0.944444444444444,0.166666666666667,0.0555555555555556,0.0555555555555556,0.222222222222222,0,0.944444444444444
"36","BK212",0,0.142857142857143,0.857142857142857,0.285714285714286,0,1,0,0.714285714285714
"37","BK215",0,0.111111111111111,0.777777777777778,0.111111111111111,0,0.888888888888889,0,0.555555555555556
"38","BK216",0,0.142857142857143,0.571428571428571,0.142857142857143,0.285714285714286,0.142857142857143,0,0.571428571428571
"39","BK218",0.25,0.125,0,0,0.5,0.375,0,0.125
"40","BK221",0.375,0.375,0.5,0.125,0.125,0.5,0,0.5
"41","BK228",0,0.25,1,0.5,0,0.875,0,0.875
"42","BK229",0,0,1,0.222222222222222,0,0.888888888888889,0,0.888888888888889
"43","BK23",0,0.181818181818182,0.818181818181818,0,0,0.454545454545455,0,0.727272727272727
"44","BK233",0,0.0909090909090909,0.363636363636364,0.0909090909090909,0.545454545454545,0,0,0.272727272727273
"45","BK236",0,0.111111111111111,1,0.333333333333333,0,1,0,1
"46","BK24",0,0.1,0.8,0.1,0,0.8,0.1,0.7
"47","BK240",0,0.266666666666667,0.2,0.133333333333333,0,0.4,0.266666666666667,0.533333333333333
"48","BK241",0.25,0,0.375,0,0.125,0.375,0,0.125
"49","BK248",0,0.142857142857143,1,0.428571428571429,0,1,0,1
"50","BK249",0,0.625,0.5,0.25,0.25,0.375,0,0.75
"51","BK250",0,0.857142857142857,0,0,0.142857142857143,0,0,0
"52","BK252",0,0.714285714285714,1,0.285714285714286,0,0.857142857142857,0,0.285714285714286
"53","BK253",0,1,0.142857142857143,0,0,0,0,0.142857142857143
"54","BK256",0,0,0.818181818181818,0,0.0909090909090909,0.636363636363636,0.0909090909090909,0.818181818181818
"55","BK259",0,0.5,0.75,0.75,0,0.25,0,0.75
"56","BK260",0,0,0.454545454545455,0,0.272727272727273,0.181818181818182,0,0.363636363636364
"57","BK263",0.3,0,0.6,0.2,0.3,0,0,0
"58","BK264",0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667
"59","BK266",0,0,0.6,0.4,0,0.6,0,0.5
"60","BK269",0,0.2,0.9,0.9,0,0.8,0,0.9
"61","BK275",0,0.111111111111111,0.666666666666667,0.333333333333333,0.111111111111111,0.666666666666667,0,0.666666666666667
"62","BK28",0,0,0.272727272727273,0,0.636363636363636,0.0909090909090909,0,0
"63","BK29",0.545454545454545,0.0909090909090909,0.818181818181818,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.545454545454545
"64","BK40",0.5,0.375,0.75,0,0.125,0.5,0,0.5
"65","BK43",0,0.111111111111111,0.222222222222222,0.333333333333333,0.666666666666667,0,0,0.111111111111111
"66","BK45",0,0,0,0,1,0,0,0
"67","BK47",0,0.166666666666667,0.833333333333333,0.333333333333333,0,0.5,0,0.666666666666667
"68","BK48",0,0.416666666666667,0.833333333333333,0.583333333333333,0,0.75,0,0.75
"69","BK50",0,0.111111111111111,0.888888888888889,0.111111111111111,0,0.666666666666667,0.111111111111111,0.333333333333333
"70","BK54",0,0.111111111111111,0.666666666666667,0.222222222222222,0.333333333333333,0,0,0.333333333333333
"71","BK57",0,0,0.666666666666667,0.111111111111111,0.222222222222222,0.777777777777778,0,0.222222222222222
"72","BK59",0,0.222222222222222,0.888888888888889,0.555555555555556,0,0.333333333333333,0,0.777777777777778
"73","BK61",0,0,0.714285714285714,0.142857142857143,0,0.428571428571429,0,0.714285714285714
